user,karma,rating,publications,comments,favourites,followers
7C3,0.0,0.0,0,27,26,1
7even,19.0,0.0,1,21,7,7
7voprosov,9.0,0.1,1,23,24,3
7workers,1.0,0.0,4,63,81,5
8086,0.0,0.0,0,24,125,1
80x86,83.2,0.0,4,415,96,26
88z,11.0,0.0,2,7,16,1
8bitjoey,26.2,0.0,1,321,161,4
8protons,12.0,0.0,1,20,0,1
8xandr,13.0,0.0,4,13,11,3
96467840,3.0,0.0,1,5,61,1
9851754,3.0,0.0,1,2,7,2
9ikopb,2.0,0.0,1,160,5,1
9thlevel,0.0,0.0,1,13,7,0
A1MaZ,0.0,0.0,0,411,1,3
A1ien,32.0,0.0,3,147,117,4
A1lfeG,0.0,0.0,0,523,123,2
A3a,52.0,0.0,3,49,37,4
A4E,19.0,0.0,1,25,21,7
A65urd,0.0,0.0,0,13,52,0
AAM,0.0,0.0,0,30,2,0
AAS,0.0,0.0,0,11,121,0
AAbrosov,0.0,0.0,0,6,1,0
ACTPOHABT,4.0,0.0,1,45,0,0
AChep,13.0,0.0,4,75,15,0
ADMiNZ,0.0,0.0,0,8,1,8
ADOLF88HITLER,0.0,0.0,0,18,165,1
ADSapozhnikov,2.0,0.0,1,5,40,1
AEP,33.0,0.0,2,124,1,4
AEinsam,0.0,0.0,0,16,511,0
AGrebinchukov,0.0,0.0,0,36,0,1
AHDPEu,0.0,0.0,0,331,293,1
AHTUxPK,0.0,0.0,0,5,0,2
AHrEJI,0.0,0.0,0,190,123,5
AIV_Electronics,22.0,0.0,0,12,0,2
AIVolkov,16.0,0.0,3,24,13,3
AKarlov,56.0,0.0,35,161,686,121
ALEX_k_s,19.0,6.4,5,24,2,5
ALLIGATOR,0.0,0.0,0,41,0,4
ALPINE63rus,30.0,0.0,4,123,32,6
ALTF13,8.0,0.0,1,35,0,0
ALev,16.0,0.0,2,60,59,6
ALiENZ,0.0,0.0,0,23,25,1
ALyarskiy,10.0,0.0,1,29,8,0
AMDev,8.0,0.0,2,31,117,1
AMar4enko,12.0,0.0,4,81,4,1
AN3O,3.0,0.0,2,126,7,0
ANRIK,9.0,0.0,1,16,2,1
ANtlord,7.0,0.0,3,128,341,6
APXEOLOG,1.0,0.0,1,12,0,0
APaMazur,21.0,0.0,1,98,20,0
ARCHANG3L,0.0,0.0,0,7,23,2
ARTDooM,0.0,0.0,0,65,68,0
ARTIsshoque,5.0,0.0,1,8,0,0
ASD2003ru,0.0,0.0,0,136,108,1
ASH_NASH,23.1,0.0,4,100,2,11
ASTAPP,0.0,0.0,0,2,31,0
ASovetov,0.0,0.0,0,51,0,4
AStefanovskiy,11.0,0.0,5,14,83,8
AStek,0.0,0.0,0,73,4,3
ATLANT1S,8.0,0.0,1,42,31,2
ATOMOHOD,16.0,0.0,1,47,251,1
ATauenis,1.0,0.0,2,69,9,0
AVGUR,0.0,0.0,1,306,35,2
AVI,0.0,0.1,0,85,27,0
AVil,0.0,0.0,0,4,18,0
AWE64,0.0,0.0,0,109,724,2
AYA,0.0,0.0,0,52,496,10
AYShestakov,12.0,0.0,9,405,106,5
AYrm,114.2,0.0,1,610,19,7
A_J,13.0,0.0,2,17,1,0
A_Kochurov,14.0,0.0,3,22,5,0
AaZz,0.0,0.0,0,116,0,0
Abdus,11.0,0.0,1,137,91,1
AbnormalHead,94.0,0.0,5,318,328,6
Abrik,5.0,0.0,1,3,2,9
Abyasov,28.0,0.0,2,139,314,17
Abyss777,4.0,0.0,1,11,4,0
AbyssMoon,58.0,0.0,7,132,125,9
Academ_Media_Development,4.0,0.0,2,3,1,0
AccessForbidden,7.0,0.0,2,169,13,2
Accetone,13.0,0.0,1,19,13,0
AcidPrice,0.0,0.0,0,80,95,2
AcidVenom,9.0,0.1,3,101,7,5
Acidmind,13.0,0.0,4,14,31,0
AcidumIrae,4.0,0.0,1,25,1,3
Aclz,3.0,0.1,1,268,111,2
Aco,35.0,0.0,2,248,57,13
Acristi,0.0,0.0,0,32,0,0
ActiveObject,8.0,0.0,1,41,324,0
Actor,7.0,0.0,2,47,65,0
Acubed,0.0,0.0,0,50,595,1
Ad3pt,12.0,0.0,2,52,77,1
AdOneTech,16.0,0.0,1,5,5,2
AdaStreamer,15.0,8.0,3,34,4,0
Adam,0.0,0.0,0,6,84,0
Adarian,0.0,0.0,0,17,0,15
AddAloner,8.0,0.0,1,37,21,6
AddRemover,34.0,0.0,4,195,86,8
Adelf,10.0,0.0,1,213,207,7
Adiost,82.2,0.0,7,319,113,15
Adium,0.0,0.0,0,19,2,1
AdmAlexus,6.0,0.0,1,144,57,2
Adnako,3.0,0.0,4,202,6,2
AdrenaLeen,5.0,0.0,1,34,5,2
Advaita,9.0,0.0,0,0,1,0
AdvanTiSS,114.0,0.0,3,151,37,7
Advertolog,0.0,0.0,0,15,233,0
Adward,0.0,0.0,0,106,52,6
Aecktann,36.7,0.0,3,106,4,1
Aelyth,3.0,0.0,1,6,101,2
Aesthete,7.7,0.0,1,105,44,11
Aetet,9.7,0.1,1,176,335,2
Afganec,11.0,0.0,2,20,21,5
AflexDistribution,0.0,0.0,4,3,1,1
Africa,0.0,0.0,0,11,12,0
Afrit,0.0,0.0,0,17,19,0
Aft3rmath,8.0,0.0,1,29,12,2
Ag47,0.0,0.0,0,256,547,6
Aga,13.0,0.0,1,13,31,1
AgaFonOff,60.9,0.0,12,278,23,22
Agafon,0.0,0.0,0,80,78,0
Agaspher20,6.0,0.0,1,8,84,2
Agb,1.0,0.0,1,27,91,0
AgeNTus,6.0,0.0,1,31,13,0
Agel_Nash,34.2,0.0,5,206,578,18
AgentSIB,12.0,0.0,2,110,87,4
Agent_Smith,6.5,0.0,1,1,384,24
Ahcai5oh,13.0,0.0,3,195,2,13
Ahiin,30.0,0.0,2,14,26,11
AiNE,0.0,0.0,0,1,29,1
Ai_boy,1.0,0.0,3,360,389,8
AigizK,6.3,0.0,0,218,405,0
Aiki,4.0,0.4,1,63,69,0
Aios,0.0,0.0,0,59,117,2
AirLight,0.0,0.0,0,265,31,0
Airog,22.0,0.0,2,151,71,1
Aisu_Kuge,0.0,0.0,0,35,20,2
Aivean,64.5,0.0,2,267,242,14
Aiwe,0.0,0.0,0,13,59,2
Ajex,43.0,0.0,1,354,230,2
Akdmeh,4.0,0.0,1,52,4,4
Akela_wolf,34.2,0.0,2,81,94,4
AkiraToudou,0.0,0.0,0,15,12,2
Akit,0.0,0.0,0,2,339,1
Akonit,0.0,0.0,0,1,0,1
AkpoFlash,6.0,0.0,1,5,232,0
Akr0n,86.0,64.0,35,653,180,18
Akson87,172.5,0.0,20,376,177,34
Akuji_bwn,12.0,0.0,4,67,158,2
Akvel,11.0,0.0,2,102,127,4
AlNinyo,19.0,0.0,0,57,83,6
Alabastr,4.0,0.0,1,3,4,0
AlanDenton,36.0,15.3,19,101,0,39
AlanDrakes,9.0,0.0,3,61,12,4
Alanir,25.2,0.0,7,131,0,7
Alaniyatm,0.0,0.0,0,40,2,1
Alaunquirie,21.2,0.0,6,915,94,46
AlbertMHLT,0.0,0.0,0,34,571,2
Albert_73,0.0,0.0,0,158,17,4
Albom,46.5,0.0,3,37,6,15
Albrt,25.0,0.0,3,12,26,7
Alcorec,0.0,0.0,0,29,1,1
AleXKarasev,0.0,0.0,0,5,60,0
Aleco,14.0,0.0,1,41,1,0
AlekM,0.0,0.0,0,1,1,0
Aleko,10.0,0.0,2,92,9,12
Aleks_expert,0.0,0.0,0,27,0,0
Aleks_ja,22.0,0.0,4,109,391,4
AleksandrFox,0.0,0.0,0,40,0,0
Aleksashka1990,0.0,0.0,0,26,0,0
AlekseenkoAV,5.0,0.0,1,16,10,0
Alekseo,0.0,0.0,0,26,0,1
Aleksey3a,5.0,0.0,1,9,20,1
AlekseyGulyaev,1.0,0.0,1,5,0,0
Aleksi,23.0,0.0,0,23,0,9
Aler,20.0,0.0,2,74,16,29
Alerman,7.0,0.0,1,16,17,0
Alerticus,0.0,0.0,0,38,58,3
Alesh,16.0,0.0,7,223,61,1
Aleshin,1.0,0.0,1,35,0,2
Alesot,0.0,0.0,0,36,42,7
Alet,2.0,0.0,1,3,17,0
Alex013,0.0,0.0,0,46,0,0
Alex10,62.0,0.0,16,47,210,13
Alex118,5.0,0.0,1,8,23,0
Alex141,11.0,0.0,1,18,1,1
Alex1C,3.0,0.0,1,5,0,2
Alex42rus,0.0,0.0,0,162,41,0
Alex509,3.0,0.0,1,2,1,3
Alex59,1.0,0.0,0,21,94,2
AlexAdskiy,0.0,0.0,0,82,56,0
AlexAkimov,60.0,18.4,23,165,340,34
AlexBabin,55.0,0.0,1,20,1,5
AlexBaggins,0.0,0.0,0,3,0,4
AlexBaklanov,36.5,0.0,2,34,24,1
AlexBazhenov,2.0,0.0,12,9,31,0
AlexBednyi,0.0,0.0,0,7,0,0
AlexBobkov,0.0,0.0,0,4,306,15
AlexBonel,19.0,0.0,3,59,1,0
AlexDS,12.0,0.0,1,96,1,5
AlexDodonov,0.0,0.0,0,48,266,3
AlexFrost,4.0,0.0,1,47,4,5
AlexGluck,7.0,0.0,1,4,0,1
AlexGriss,0.0,0.0,0,0,3,2
AlexHa,0.0,0.0,2,304,37,0
AlexKR,0.0,0.0,0,20,725,2
AlexKeller,10.0,0.0,1,11,115,5
AlexKonshin,9.0,0.0,1,32,35,2
AlexKostin,7.0,0.0,2,32,28,0
AlexLeFou,1.0,0.0,1,3,0,2
AlexLeonov,153.0,0.0,11,358,26,35
AlexMrKlim,3.0,0.0,1,18,52,1
AlexNomad,13.0,0.0,0,78,20,1
AlexP11223,0.0,0.0,0,297,44,1
AlexPTS,0.0,0.0,0,64,416,13
AlexPancho,20.0,0.0,3,24,18,2
AlexPet,0.0,0.0,0,13,49,6
AlexPublic,18.0,0.0,1,121,0,2
AlexRex,0.0,0.0,0,69,10,9
AlexRoch,3.0,0.0,3,22,6,0
AlexRudkowskij,1.0,0.0,0,9,529,2
AlexS,30.6,0.0,5,194,35,10
AlexSam,37.7,0.0,1,164,155,3
AlexSavin,21.0,0.0,1,15,0,6
AlexSerbul,90.2,0.8,25,466,41,71
AlexShkor,25.0,0.0,3,119,264,20
AlexSky,18.0,0.0,1,125,27,5
AlexSoff,0.0,0.0,0,11,0,0
AlexStalker,0.0,0.0,0,43,43,0
AlexTest,24.0,0.1,5,160,615,4
AlexVrag,0.0,0.0,0,30,37,1
AlexWasHere,1.0,0.0,1,2,6,0
AlexZaharow,21.0,0.0,4,88,148,0
Alex_At_Net,30.0,0.2,7,224,19,3
Alex_Great,0.0,0.0,0,11,0,0
Alex_L,9.0,0.0,2,12,22,2
Alex_MIPT,105.5,0.0,4,90,53,20
Alex_Mukh,5.0,0.0,1,6,0,1
Alex_Popov,9.0,0.0,1,10,77,10
Alex_sik,25.0,0.0,0,43,0,0
AlexanderAnisimov,2.0,0.0,1,45,144,1
AlexanderButakov,7.0,0.0,1,10,68,5
AlexanderCam,0.0,0.0,0,58,0,2
AlexanderFedorenko,0.0,0.0,0,23,0,2
AlexanderG,25.0,0.0,1,370,33,1
AlexanderPHP,36.5,0.0,5,55,145,20
AlexanderS,37.2,0.2,6,319,68,6
AlexanderYastrebov,17.8,0.0,2,312,25,2
AlexandrBorisov,0.0,0.0,1,22,39,2
AlexandrDP,10.0,0.0,2,85,97,0
