name,result,place,country,category
Огаркин Томми,2:41:53,63,Россия,М30
Chan Shih-Hao,2:42:06,64,КитайскаяРеспублика,М29
Абрагимов Сергей,2:42:24,65,Россия,М36
Баранников Виктор,2:42:51,66,Россия,М36
Никишов Алексей,2:43:00,67,Россия,М32
Пименов Дмитрий,2:43:07,68,Россия,М23
Spoering Hendrik,2:43:30,69,Германия,М28
Новиков Сергей,2:43:33,70,Россия,М35
Бабушинов Сергей,2:43:34,71,Россия,М38
Пцарев Александр,2:43:52,72,Россия,М39
Фомин Вадим,2:43:53,73,Россия,М28
Герулайтис Кастис,2:43:57,74,Россия,М47
Рыжанкова Юлия,2:44:11,75,Россия,Ж31
Baruzdin Dmitriy,2:44:17,76,Россия,М25
Озаренков Александр,2:44:18,77,Россия,М31
Савченко Алексей,2:44:19,78,Россия,М47
Siemek Krzysztof,2:44:25,79,Польша,М32
Jones Mark,2:44:26,80,Великобритания,М41
Шишлов Степан,2:44:37,81,Россия,М27
Абельдяев Александр,2:44:51,82,Россия,М37
Соин Евгений,2:44:53,83,Россия,М33
Николаев Федор,2:44:58,84,Россия,М40
Larionov Konstantin,2:44:58,85,Россия,М37
Щекин Алексей,2:45:04,86,Россия,М34
Филиппов Алексей,2:45:27,87,Россия,М43
Комель Александр,2:45:39,88,Россия,М28
Панов Сергей,2:45:46,89,Россия,М31
Бондарь Дмитрий,2:46:00,90,Россия,М31
Овсянников Сергей,2:46:11,91,Россия,М41
Строфилов Юрий,2:46:15,92,Россия,М54
Анфимов Максим,2:46:23,93,Россия,М39
Тынчерова Евгения,2:46:24,94,Россия,Ж33
Трофимов Кирилл,2:46:26,95,Россия,М32
Афанасова Александра,2:46:34,96,Россия,Ж22
Бабкин Дмитрий,2:46:40,97,Россия,М33
Кушников Илья,2:47:01,98,Россия,М27
Шабалин Иван,2:47:06,99,Россия,М34
Федоров Максим,2:47:08,100,Россия,М38
Колмаков Юрий,2:47:12,101,Россия,М36
Руда Александр,2:47:18,102,Россия,М38
Sokolov Sergey,2:47:18,103,Россия,М26
Алексеев Сергей,2:47:20,104,Россия,М33
Терехин Владимир,2:47:21,105,Россия,М33
Клопов Дмитрий,2:47:25,106,Россия,М28
Kompantsev Vyacheslav,2:47:33,107,Россия,М35
Цветков Максим,2:47:33,108,Россия,М27
Свиридов Сергей,2:47:34,109,Россия,М20
Наливайко Михаил,2:47:36,110,Россия,М28
Timerkhanov Sergey,2:47:38,111,Россия,М25
Krendelev Dmitrii,2:47:42,112,Россия,М27
Калинин Антон,2:47:53,113,Россия,М34
Венедиктов Михаил,2:47:58,114,Россия,М40
Животенко Сергей,2:47:58,115,Россия,М34
Сабиров Григорий,2:48:02,116,Россия,М35
Козенков Денис,2:48:03,117,Россия,М45
Бородинова Александра,2:48:14,118,Россия,Ж28
Шерстнев Михаил,2:48:20,119,Россия,М34
Иванов Константин,2:48:27,120,Россия,М36
Карасёв Ярослав,2:48:27,121,Россия,М26
Серпорезюк Сергей,2:48:29,122,Россия,М41
Абдрахимов Альберт,2:48:36,123,Россия,М40
Иванов Антон,2:48:48,124,Россия,М33
Шмычков Виталий,2:48:48,125,Россия,М36
Шульев Борис,2:48:56,126,Россия,М34
Табачков Роман,2:48:57,127,Россия,М42
Симонов Константин,2:48:59,128,Россия,М39
Скворцов Алексей,2:48:59,129,Россия,М31
Ермаков Павел,2:49:04,130,Россия,М32
Шацкий Евгений,2:49:05,131,Россия,М26
Марынов Владимир,2:49:12,132,Россия,М52
Максаков Михаил,2:49:23,133,Россия,М33
Михайлов Максим,2:49:24,134,Россия,М31
Малыгин Игорь,2:49:30,135,Россия,М33
Мухамедзарифов Фарид,2:49:35,136,Россия,М45
Степанов Роман,2:49:36,137,Россия,М31
Гухман Вадим,2:49:46,138,Россия,М39
Пьянов Артем,2:49:47,139,Россия,М34
Kosaka Takuya,2:49:52,140,Япония,М51
Лучкин Василий,2:49:55,141,Россия,М39
Алагизов Алексей,2:49:57,142,Россия,М32
Гришин Лев,2:50:00,143,Россия,М37
Майоров Артём,2:50:06,144,Россия,М33
Нечаев Валентин,2:50:11,145,Россия,М36
Цветков Кирилл,2:50:12,146,Россия,М28
Карпеев Алексей,2:50:16,147,Россия,М36
Иващенков Артем,2:50:22,148,Россия,М33
Своеволин Александр,2:50:34,149,Россия,М23
Фролов Владислав,2:50:34,150,Россия,М43
Серёжкин Алексей,2:50:39,151,Россия,М31
Bazarbayev Sultan,2:50:45,152,Казахстан,М25
Когтенев Дмитрий,2:50:47,153,Россия,М38
Balashov Roman,2:50:49,154,Россия,М34
Легомский Михаил,2:50:49,155,Россия,М41
Chernenko Alexander,2:50:54,156,Россия,М38
Miotk Marcin,2:50:56,157,Польша,М46
Letunov Alexander,2:50:59,158,Россия,М38
Быков Антон,2:51:01,159,Россия,М30
Mosselmans Sven,2:51:02,160,Бельгия,М47
Raevsky Mikola,2:51:11,161,Россия,М40
Кучерявый Евгений,2:51:12,162,Россия,М38
Мурадян Андрей,2:51:16,163,Россия,М37
Давыдов Вячеслав,2:51:18,164,Россия,М24
Соколов Александр,2:51:19,165,Россия,М35
Кудинов Михаил,2:51:20,166,Россия,М33
Шагиева Рамиля,2:51:27,167,Россия,Ж26
Насилевский Александр,2:51:29,168,Россия,М47
Grabowski David,2:51:34,169,Франция,М42
Prokudin Nikolay,2:51:36,170,Россия,М40
Джагарян Армен,2:51:36,171,Россия,М37
Zhegusov Iaroslav,2:51:42,172,Россия,М33
Стенюков Владимир,2:51:43,173,Россия,М43
Lomeland Sondre,2:51:45,174,Норвегия,М23
Бородюх Максим,2:51:50,175,Россия,М31
Галичанин Александр,2:51:50,176,Россия,М30
Батанов Александр,2:51:51,177,Россия,М51
Автунич Алексей,2:51:54,178,Россия,М43
Коконов Дмитрий,2:52:02,179,Россия,М25
Акинин Алексей,2:52:03,180,Россия,М31
Каптюшкин Андрей,2:52:08,181,Россия,М42
Матросов Алексей,2:52:08,182,Россия,М43
Бубонец Дмитрий,2:52:12,183,Россия,М29
Дроздов Алексей,2:52:15,184,Россия,М26
Руженцев Илья,2:52:18,185,Россия,М26
Кожухов Владислав,2:52:20,186,Россия,М23
Медведев Илья,2:52:21,187,Россия,М32
Терентьев Андрей,2:52:22,188,Россия,М31
Benidovskiy Ivan,2:52:23,189,Россия,М28
Савлуков Николай,2:52:24,190,Россия,М32
Эбриль Михаил,2:52:29,191,Россия,М42
Kompantsev Aleksandr,2:52:30,192,Россия,М35
Кучеренко Константин,2:52:30,193,Россия,М43
Таневский Денис,2:52:30,194,Россия,М36
Ефимов Антон,2:52:35,195,Россия,М45
Hornig Sten,2:52:37,196,Германия,М29
Никулин Константин,2:52:45,197,Россия,М31
Шустов Александр,2:52:46,198,Россия,М34
Земляков Дмитрий,2:52:46,199,Россия,М34
Быков Владимир,2:52:52,200,Россия,М47
Абрамов Артём,2:52:53,201,Россия,М33
Пулькина Анастасия,2:53:03,202,Россия,Ж26
Цветков Алексей,2:53:08,203,Россия,М36
Стрекаловский Дмитрий,2:53:22,204,Россия,М26
Петрищев Максим,2:53:25,205,Россия,М33
Аверьянов Игорь,2:53:27,206,Россия,М38
Корнеев Роман,2:53:36,207,Россия,М45
Смирнов Олег,2:53:40,208,Россия,М36
Фролов Геннадий,2:53:51,209,Россия,М42
Иванов Александр,2:53:53,210,Россия,М37
Орлов Вячеслав,2:54:02,211,Россия,М45
Старцев Павел,2:54:05,212,Россия,М42
Шляховских Михаил,2:54:11,213,Россия,М34
Ловчев Евгений,2:54:15,214,Россия,М44
Костиков Владимир,2:54:18,215,Россия,М35
Trianni Stefano,2:54:21,216,Италия,М41
Громов Сергей,2:54:25,217,Россия,М31
Иванов Павел,2:54:27,218,Россия,М30
Перепеч Игорь,2:54:27,219,Россия,М48
Галактионов Сергей,2:54:34,220,Россия,М26
Елаев Игорь,2:54:38,221,Россия,М36
Zhuravlev Aleksey,2:54:38,222,Россия,М32
Kolpakov Vitaly,2:54:40,223,Россия,М31
Curley Jozef,2:54:42,224,Словакия,М37
Гуськов Федор,2:54:43,225,Россия,М30
Табатчиков Николай,2:54:46,226,Россия,М34
Zhuravlev Dmitrii,2:54:54,227,Россия,М41
Мацнев Михаил,2:54:55,228,Россия,М30
Герасимов Алексей,2:54:57,229,Россия,М27
Рушаков Александр,2:54:59,230,Россия,М23
Куркин Юрий,2:54:59,231,Россия,М40
Domingo Lobo Daniel,2:55:02,232,Испания,М43
Спирина Ольга,2:55:04,233,Россия,Ж42
Морозов Сергей,2:55:04,234,Россия,М38
Суборов Евгений,2:55:07,235,Россия,М39
Буравов Александр,2:55:07,236,Россия,М50
Sologub Nikolay,2:55:09,237,Россия,М56
Иевлев Олег,2:55:12,238,Россия,М50
Миронов Сергей,2:55:12,239,Россия,М56
Калинин Сергей,2:55:16,240,Россия,М29
Рудов Виталий,2:55:17,241,Россия,М40
Markin Andrey,2:55:17,242,Россия,М33
Пугачев Максим,2:55:19,243,Россия,М40
Макаркин Евгений,2:55:21,244,Россия,М32
Сивцов Сергей,2:55:23,245,Россия,М20
Kerzhner Maksim,2:55:26,246,Россия,М45
Шкляев Михаил,2:55:29,247,Россия,М25
Liu Bin,2:55:35,248,США,М56
Корж Алексей,2:55:35,249,Россия,М39
Масленников Михаил,2:55:40,250,Россия,М33
Соколов Павел,2:55:40,251,Россия,М37
Соколан Дмитрий,2:55:45,252,Россия,М34
Лепегин Владимир,2:55:50,253,Россия,М25
Долматов Андрей,2:55:53,254,Россия,М35
Jurancic Matej,2:55:55,255,Словения,М37
Козлов Александр,2:55:56,256,Россия,М32
Глебов Григорий,2:55:56,257,Россия,М23
Журавлёв Георгий,2:56:00,258,Россия,М25
Бобровский Максим,2:56:04,259,Россия,М24
Сядро Вадим,2:56:07,260,Россия,М35
Лукашин Алексей,2:56:07,261,Россия,М32
Мальцев Владислав,2:56:09,262,Россия,М36
Sivtsev Albert,2:56:15,263,Россия,М47
Лазук Денис,2:56:17,264,Россия,М31
Зуев Антон,2:56:18,265,Россия,М35
Очеретный Артур,2:56:19,266,Россия,М41
Glushkov Alexey,2:56:19,267,Россия,М42
Уланов Дмитрий,2:56:23,268,Россия,М28
Кузнецов Геннадий,2:56:26,269,Россия,М32
Чекарев Алексей,2:56:27,270,Россия,М33
Зверьков Борис,2:56:32,271,Россия,М20
Сарангов Валерий,2:56:34,272,Россия,М32
Mikheychev Igor,2:56:34,273,Россия,М32
Олемской Дмитрий,2:56:37,274,Россия,М44
Akbarov Oleg,2:56:40,275,Россия,М31
Курлов Алексей,2:56:42,276,Россия,М39
Новикова Надежда,2:56:44,277,Россия,Ж30
Курочкин Алексей,2:56:47,278,Россия,М41
Островский Илья,2:56:48,279,Россия,М30
Грибановский Сергей,2:56:48,280,Россия,М38
Голубев Михаил,2:56:48,281,Россия,М32
Илюхин Антон,2:56:50,282,Россия,М33
Егоров Александр,2:56:52,283,Россия,М37
Яковлев Александр,2:56:59,284,Россия,М33
Холоднов Максим,2:57:02,285,Россия,М29
Преображенский Алексей,2:57:03,286,Россия,М41
Жестовский Андрей,2:57:04,287,Россия,М45
Подберезных Иван,2:57:04,288,Россия,М35
Dominoni Ippolito,2:57:05,289,Италия,М51
Заводский Алексей,2:57:09,290,Россия,М34
Гранкин Дмитрий,2:57:10,291,Россия,М36
Некрасов Павел,2:57:10,292,Россия,М28
Гриханин Александр,2:57:18,293,Россия,М22
Носов Сергей,2:57:18,294,Россия,М38
Бурлаков Геннадий,2:57:19,295,Россия,М30
Абакумов Николай,2:57:21,296,Россия,М40
Некипелый Леонид,2:57:22,297,Россия,М34
Трифонов Алексей,2:57:23,298,Россия,М45
Раев Сергей,2:57:24,299,Россия,М35
Горожанцев Антон,2:57:24,300,Россия,М27
Шипулин Юрий,2:57:26,301,Россия,М26
Шамов Иван,2:57:29,302,Россия,М32
Егоров Михаил,2:57:30,303,Россия,М28
Tarasov Oleg,2:57:31,304,Россия,М40
Иванов Дмитрий,2:57:31,305,Россия,М33
Попов Стас,2:57:31,306,Россия,М19
Кутянин Артем,2:57:32,307,Россия,М31
Паламарчук Ярослав,2:57:33,308,Россия,М29
Казупеев Михаил,2:57:33,309,Россия,М33
Егоркин Денис,2:57:35,310,Россия,М31
Князев Алексей,2:57:36,311,Россия,М32
Груздев Олег,2:57:36,312,Россия,М43
Бохан Александр,2:57:37,313,Россия,М30
Yangirov Vadim,2:57:42,314,Россия,М31
Падалка Алексей,2:57:42,315,Россия,М28
Дегтярь Сергей,2:57:48,316,Россия,М48
Дорощенко Дмитрий,2:57:50,317,Россия,М36
Махов Дмитрий,2:57:50,318,Россия,М25
Глебов Алексей,2:57:51,319,Россия,М27
Манаев Антон,2:57:52,320,Россия,М34
Зырянов Антон,2:57:53,321,Россия,М31
Pult Erich,2:57:54,322,Австрия,М41
Крылов Валерий,2:57:57,323,Россия,М36
Шемякинский Борис,2:57:58,324,Россия,М32
Волков Константин,2:57:59,325,Россия,М57
Курганов Андрей,2:58:01,326,Россия,М46
Асадуллаев Эльдар,2:58:03,327,Россия,М26
Белых Алексей,2:58:03,328,Россия,М31
Анужис Павел,2:58:04,329,Россия,М43
Небылицын Георгий,2:58:05,330,Россия,М29
Исаев Олег,2:58:06,331,Россия,М43
Терентьев Алексей,2:58:09,332,Россия,М24
Плотников Иван,2:58:11,333,Россия,М35
Стоноженко Артем,2:58:12,334,Россия,М40
Demanov Yury,2:58:16,335,Россия,М56
Гнидюк Павел,2:58:17,336,Россия,М38
Сезёмов Андрей,2:58:17,337,Россия,М48
Kaea Matthew,2:58:17,338,США,М50
Zakharov Pavel,2:58:18,339,Россия,М31
Титов Евгений,2:58:19,340,Россия,М40
Скалкин Антон,2:58:22,341,Россия,М24
Сидоров Александр,2:58:23,342,Россия,М43
Гуливатый Петр,2:58:24,343,Россия,М35
Кудрицкий Сергей,2:58:24,344,Белоруссия,М38
Земцов Максим,2:58:25,345,Россия,М34
Левитин Владимир,2:58:29,346,Израиль,М51
Рябцев Вадим,2:58:30,347,Россия,М36
Аверин Андрей,2:58:31,348,Россия,М40
Попов Сергей,2:58:32,349,Россия,М21
Тишакин Максим,2:58:32,350,Россия,М31
Майоров Андрей,2:58:34,351,Россия,М27
Титов Эдуард,2:58:39,352,Россия,М47
Егоров Павел,2:58:40,353,Россия,М41
Стороженко Ярослав,2:58:43,354,Россия,М31
Гаврилов Владимир,2:58:44,355,Россия,М45
Fedorov Sergey,2:58:46,356,Россия,М29
Гультяев Константин,2:58:50,357,Россия,М36
Михальчук Александр,2:58:52,358,Россия,М31
Козлов Николай,2:58:53,359,Россия,М33
Балакин Антон,2:58:53,360,Россия,М25
Тарабрин Андрей,2:58:54,361,Россия,М34
Ватракшин Валентин,2:58:54,361,Россия,М35
Стенин Алексей,2:59:00,363,Россия,М36
Гузняев Павел,2:59:01,364,Россия,М30
Stepanov Andrey,2:59:01,365,Россия,М38
Селиверстов Евгений,2:59:03,366,Россия,М39
Гоголев Илья,2:59:04,367,Россия,М20
Зембатов Алан,2:59:07,368,Россия,М36
Мирзоалиев Рифатджон,2:59:07,369,Россия,М29
Еранский Андрей,2:59:08,370,Россия,М28
Гительман Алексей,2:59:13,371,Россия,М42
Певицкий Владимир,2:59:13,372,Россия,М44
Жилин Владимир,2:59:21,373,Россия,М34
Рой Иван,2:59:21,374,Россия,М30
Гриневич Андрей,2:59:23,375,Россия,М25
Маслов Игорь,2:59:23,376,Россия,М51
Иванов Денис,2:59:24,377,Россия,М34
Минашкин Никита,2:59:24,378,Россия,М31
Ханин Дмитрий,2:59:26,379,Россия,М26
Cavalliere Lionel,2:59:26,380,Франция,М52
Данченков Денис,2:59:29,381,Россия,М31
Болбат Антон,2:59:34,382,Россия,М40
Проценко Михаил,2:59:36,383,Россия,М30
Зарицкий Сергей,2:59:36,384,Белоруссия,М43
Glotikov Dmitry,2:59:43,385,Россия,М42
Назаренко Михаил,2:59:45,386,Россия,М36
Архипов Егор,2:59:51,387,Россия,М33
Данилов Александр,2:59:54,388,Россия,М27
Тиханов Дмитрий,2:59:56,389,Россия,М38
Шевцов Юрий,2:59:57,390,Россия,М37
Шевченко Александр,3:00:01,391,Россия,М26
Евсюков Артем,3:00:06,392,Россия,М28
Майбородин Алексей,3:00:07,393,Россия,М42
Аверьев Владимир,3:00:07,394,Россия,М36
Belov Alexander,3:00:08,395,Россия,М43
Фетин Константин,3:00:09,396,Россия,М35
Лиля Павел,3:00:16,397,Россия,М36
Котов Сергей,3:00:18,398,Россия,М30
Бабенко Павел,3:00:19,399,Россия,М35
Ulbashev Azamat,3:00:20,400,Россия,М40
Филистович Евгений,3:00:21,401,Россия,М33
Сологубов Федор,3:00:23,402,Россия,М27
Рябов Юрий,3:00:24,403,Россия,М40
Thongsaat Thiti,3:00:25,404,Таиланд,М27
Бувалин Максим,3:00:26,405,Россия,М40
Кудряшов Евгений,3:00:30,406,Россия,М30
Кузнецов Евгений,3:00:31,407,Россия,М41
Шаульский Дмитрий,3:00:33,408,Россия,М33
Lebedev Rodion,3:00:35,409,Россия,М20
Коваленко Екатерина,3:00:37,410,Россия,Ж38
Molochkov Ilya,3:00:39,411,Россия,М39
Wu Qifeng,3:00:41,412,КНР,М43
Булкин Михаил,3:00:49,413,Россия,М32
Карпов Егор,3:00:49,413,Россия,М18
Olerinskiy Dmitry,3:00:50,415,Россия,М39
Кленовская Ольга,3:00:57,416,Россия,Ж41
Межуев Павел,3:00:58,417,Россия,М41
Жилин Вадим,3:00:58,418,Россия,М40
Горшков Максим,3:01:02,419,Россия,М29
Закиров Эльдар,3:01:02,420,Россия,М35
Stoyanov Zdravko,3:01:05,421,Болгария,М27
Grillon Maxime,3:01:05,422,Франция,М31
Левин Владислав,3:01:16,423,Россия,М30
Jones Andrew,3:01:30,424,Великобритания,М49
Николаенков Александр,3:01:32,425,Россия,М22
Пенкин Геннадий,3:01:40,426,Россия,М35
Сергеев Алексей,3:01:41,427,Россия,М53
Levin Michael,3:01:47,428,Россия,М26
Димитров Димитър,3:01:48,429,Болгария,М40
Хорьков Леонид,3:01:48,430,Россия,М51
Сотников Олег,3:01:50,431,Россия,М32
Бабайкин Александр,3:01:51,432,Россия,М27
Литвинов Вадим,3:01:51,433,Россия,М29
Губанов Павел,3:01:55,434,Россия,М43
Bannikov Aleksey,3:02:00,435,Белоруссия,М34
Журавихин Михаил,3:02:05,436,Россия,М31
Pashchenko Dmitry,3:02:07,437,Россия,М32
Индучный Дмитрий,3:02:08,438,Россия,М25
Болотов Александр,3:02:08,439,Россия,М41
Gafarov Timur,3:02:09,440,Россия,М29
Артёмов Евгений,3:02:09,441,Россия,М41
Захаров Петр,3:02:11,442,Россия,М48
Кривозубов Роман,3:02:17,443,Россия,М37
Терещенко Денис,3:02:18,444,Россия,М28
Бутрим Роман,3:02:21,445,Россия,М31
Федоров Дмитрий,3:02:22,446,Россия,М26
Ponomarev Dmitri,3:02:27,447,Россия,М40
Yukimura Kazuya,3:02:30,448,Япония,М24
Volodymyrenko Oleg,3:02:35,449,Украина,М34
Милешин Олег,3:02:36,450,Россия,М28
Pavia Adriano,3:02:39,451,Австралия,М34
Антошенков Дмитрий,3:02:40,452,Россия,М39
Dolgikh Alexey,3:02:41,453,Россия,М27
Кривдин Андрей,3:02:42,454,Россия,М38
Жаров Евгений,3:02:43,455,Россия,М35
Лихачев Николай,3:02:44,456,Россия,М24
Колчанов Алексей,3:02:47,457,Россия,М35
Калугин Александр,3:02:50,458,Россия,М36
Menshov Andrey,3:02:56,459,Россия,М31
Большаков Евгений,3:02:59,460,Россия,М49
Astapuk Pavel,3:03:00,461,Белоруссия,М21
Жиженков Василий,3:03:09,462,Россия,М47
Шаферман Михаил,3:03:10,463,Россия,М36
Nikonov Yury,3:03:12,464,Россия,М40
Шешин Владилен,3:03:15,465,Россия,М37
Дюдин Станислав,3:03:16,466,Россия,М38
Тимощук Ярослав,3:03:16,467,Россия,М42
Соломатин Андрей,3:03:18,468,Россия,М29
Соколов Николай,3:03:19,469,Россия,М41
Колесников Сергей,3:03:20,470,Россия,М35
Павлов Алексей,3:03:22,471,Россия,М22
Клименов Михаил,3:03:24,472,Россия,М37
Калаев Павел,3:03:30,473,Россия,М38
Савчук Алексей,3:03:30,474,Россия,М39
Гераськин Дмитрий,3:03:42,475,Россия,М28
Паутова Елена,3:03:43,476,Россия,Ж33
Милованов Олег,3:03:43,477,Россия,М36
Смирнов Илья,3:03:48,478,Россия,М36
Кистанов Александр,3:03:51,479,Россия,М48
Шаталов Артем,3:03:51,479,Россия,М32
Кишкурно Александр,3:03:52,481,Россия,М19
Лутохин Алексей,3:03:54,482,Россия,М29
Кондратов Андрей,3:03:55,483,Россия,М30
Копытов Павел,3:03:56,484,Россия,М23
Кокин Олег,3:03:57,485,Россия,М46
Pravednikov Konstantin,3:03:58,486,Россия,М35
Самохин Роман,3:03:58,487,Россия,М42
Митраков Дмитрий,3:03:58,488,Россия,М31
Носов Юрий,3:04:00,489,Россия,М36
Забанов Дмитрий,3:04:02,490,Россия,М42
Кремена Евгения,3:04:06,491,Россия,Ж30
Проскурдин Константин,3:04:07,492,Россия,М36
Агибалов Сергей,3:04:10,493,Россия,М47
Лебедев Владимир,3:04:12,494,Россия,М32
Chen Jie,3:04:15,495,КНР,М56
Barberis Pierfrancesco,3:04:16,496,Италия,М42
Копенко Олег,3:04:21,497,Россия,М33
Сургучев Кирилл,3:04:21,498,Россия,М34
Иванов Евгений,3:04:24,499,Россия,М32
Деменков Андрей,3:04:25,500,Россия,М34
Zhdanov Vitaly,3:04:29,501,Россия,М43
Hensirouski Pavel,3:04:30,502,Россия,М40
Мурашов Максим,3:04:32,503,Россия,М42
Варакин Павел,3:04:35,504,Россия,М32
Дудин Алексей,3:04:49,505,Россия,М37
Didyul Mikhail,3:04:51,506,Россия,М30
Жиличев Илья,3:04:54,507,Россия,М35
Hibbs Steve,3:04:55,508,США,М47
Митин Сергей,3:04:56,509,Россия,М35
Устюгов Борис,3:05:01,510,Россия,М30
Серегин Николай,3:05:02,511,Россия,М23
Крылов Сергей,3:05:02,512,Россия,М29
Манаков Кирилл,3:05:03,513,Россия,М27
Михайленко Сергей,3:05:03,514,Россия,М34
Hartman Fredrik,3:05:05,515,Швеция,М50
Вдовин Александр,3:05:11,516,Россия,М43
Belov Aleksander,3:05:12,517,Россия,М35
Антонов Александр,3:05:15,518,Россия,М41
Маланичев Александр,3:05:18,519,Россия,М47
Дюжаков Алексей,3:05:19,520,Россия,М46
Меньшиков Иван,3:05:20,521,Россия,М33
Чекушкин Юрий,3:05:25,522,Россия,М66
Адищев Вячеслав,3:05:33,523,Россия,М43
Рубиш Андрей,3:05:36,524,Россия,М31
Чечурин Артем,3:05:37,525,Россия,М36
Muzafarov Dan,3:05:39,526,Россия,М22
Оверин Алексей,3:05:39,527,Россия,М29
Якимов Семен,3:05:40,528,Россия,М28
Петров Дмитрий,3:05:41,529,Россия,М45
Краев Сергей,3:05:43,530,Россия,М34
Панченко Фёдор,3:05:44,531,Россия,М42
Васильев Александр,3:05:46,532,Россия,М37
Чекалин Алексей,3:05:49,533,Россия,М39
Mikhaylov Alexey,3:05:50,534,Россия,М34
Баранский Константин,3:05:50,535,Россия,М35
Косогов Валентин,3:05:51,536,Россия,М53
Smirnov Alexander,3:05:52,537,Россия,М31
Дьячков Андрей,3:05:53,538,Россия,М32
Набиев Андрей,3:05:54,539,Россия,М34
Хлебной Александр,3:05:56,540,Россия,М34
Тихонов Алексей,3:05:56,541,Россия,М38
Khorchehfarahani Farhad,3:05:57,542,Иран,М34
Никитин Александр,3:05:59,543,Россия,М28
Kirillin Vasilii,3:06:00,544,Россия,М31
Полин Владимир,3:06:01,545,Россия,М44
Денисов Илья,3:06:04,546,Россия,М35
Лавров Сергей,3:06:05,547,Россия,М28
Емельянов Игорь,3:06:06,548,Россия,М30
Доморников Александр,3:06:06,549,Россия,М25
Трубин Евгений,3:06:08,550,Россия,М46
Бровченко Евгений,3:06:12,551,Россия,М31
Спирин Денис,3:06:14,552,Россия,М29
Van Houtte Vincent,3:06:15,553,Бельгия,М40
Миндубаев Рамиль,3:06:17,554,Россия,М37
Баранов Михаил,3:06:19,555,Россия,М40
Вяткин Георгий,3:06:19,556,Россия,М36
Зебельян Авед,3:06:20,557,Россия,М37
Теплоухов Александр,3:06:21,558,Россия,М47
Субботин Роман,3:06:27,559,Россия,М28
Okruzhnov Andrey,3:06:34,560,Россия,М25
Табаков Дмитрий,3:06:38,561,Россия,М36
Бущик Андрей,3:06:38,562,Россия,М40
Пронина Мария,3:06:39,563,Россия,Ж41
Юровский Владимир,3:06:39,564,Россия,М35
Дробинин Дмитрий,3:06:43,565,Россия,М36
