name,result,place,country,category
Ядгаров Искандер,2:18:02,1,Россия,М28
Реунков Алексей,2:18:11,2,Россия,М35
Кульков Михаил,2:18:29,3,Россия,М34
Волков Николай,2:18:36,4,Россия,М34
Трошкин Алексей,2:18:40,5,Россия,М33
Лукин Валерий,2:19:28,6,Россия,М34
Moradi Mohammadjafar,2:21:19,7,Иран,М29
Максимов Михаил,2:22:07,8,Россия,М33
Угаров Виктор,2:22:21,9,Россия,М32
Аплачкин Артем,2:23:29,10,Россия,М28
Клинов Андрей,2:24:04,11,Россия,М44
Янович Андрей,2:24:54,12,Россия,М25
Логинов Виталий,2:27:16,13,Россия,М30
Париенко Артём,2:28:12,14,Россия,М30
Александров Алексей,2:29:24,15,Россия,М35
Куфтырев Артем,2:29:24,16,Россия,М31
Ковалева Марина,2:29:26,17,Россия,Ж35
Шагиев Ринат,2:30:11,18,Россия,М38
Быстров Алексей,2:31:32,19,Россия,М34
Себрин Андрей,2:32:50,20,Россия,М33
Тимофеев Михаил,2:33:25,21,Россия,М28
Дмитриева Луиза,2:34:13,22,Россия,Ж28
Листов Сергей,2:34:46,23,Россия,М25
Головицын Никита,2:34:48,24,Россия,М39
Лойко Андрей,2:35:00,25,Россия,М31
Зиновьев Никита,2:35:05,26,Россия,М22
Шунин Дмитрий,2:35:11,27,Россия,М28
Безуглов Виталий,2:35:54,28,Россия,М30
Лебедева Людмила,2:36:57,29,Россия,Ж29
Сторожев Александр,2:37:01,30,Россия,М28
Диденко Андрей,2:37:16,31,Россия,М32
Лаврентьев Андрей,2:37:28,32,Россия,М20
Чистоступов Роман,2:37:33,33,Россия,М32
Киреев Вадим,2:37:46,34,Россия,М19
Ерохина Елизавета,2:37:50,35,Россия,Ж27
Слепнёва Анастасия,2:38:18,36,Россия,Ж30
Денисов Василий,2:38:25,37,Россия,М47
Сергеева Ирина,2:38:27,38,Россия,Ж31
Легков Александр,2:38:27,39,Россия,М36
Фаддеев Анатолий,2:38:42,40,Россия,М44
Филипов Владислав,2:39:03,41,Россия,М25
Украинский Дмитрий,2:39:04,42,Россия,М38
Долженко Иван,2:39:20,43,Россия,М21
Пшеничников Игорь,2:39:24,44,Россия,М27
Матюхин Сергей,2:39:35,45,Россия,М28
Базаров Алексей,2:39:44,46,Россия,М30
Резниченко Мария,2:39:46,47,Россия,Ж24
Кравченко Кирилл,2:39:52,48,Россия,М26
Спицын Дмитрий,2:40:03,49,Россия,М34
Бут Надежда,2:40:11,50,Россия,Ж34
Соболев Евгений,2:40:11,51,Россия,М27
Ромодин Алексей,2:40:23,52,Россия,М31
Созонов Владимир,2:40:25,53,Россия,М35
Самохвалов Антон,2:40:33,54,Россия,М33
Колесников Владимир,2:40:41,55,Россия,М39
Дуркин Дмитрий,2:40:45,56,Россия,М39
Рульков Илья,2:40:51,57,Россия,М36
Кондрашов Андрей,2:40:58,58,Россия,М30
Панин Илья,2:41:04,59,Россия,М36
Зарина Нина,2:41:05,60,Россия,Ж32
Кривошеев Василий,2:41:14,61,Россия,М48
Степовой Даниил,2:41:29,62,Россия,М22
