id,redirected_id,author
895,895,Uznick
897,897,didaio
901,901,linker
902,902,altmind
909,909,alardus
913,913,apakova
915,915,cdev
916,916,zzang
919,919,cdev
920,920,cdev
921,921,cdev
922,922,Mio
923,923,Uznick
925,925,St
926,926,NaFigator
928,928,himem
934,934,DIAprint
935,935,Maxime
940,940,iljava
941,941,Maxime
942,287326,Barouh
945,945,pepelsbey
946,946,Maxime
950,950,Maxime
958,958,Miker
959,959,Negoda
961,961,apakova
965,965,droganov
967,967,Artima
972,972,horsev
974,974,Mio
982,982,Maxime
993,993,elloxed
995,995,Uznick
996,996,Adam_B
999,999,huh
1000,1000,Maxime
1004,1004,Mio
1008,1008,rossomachin
1017,1017,schors
1019,1019,schors
1020,1020,schors
1026,1026,huh
1027,287328,ilnovikov
1028,1028,Miguel
1036,1036,ArtyV
1040,1040,alardus
1044,1044,Mio
1046,1046,altmind
1048,1048,schors
1050,1050,Maxime
1054,1054,Chupa
1055,1055,Chupa
1058,1058,rossomachin
1067,1067,rossomachin
1073,1073,Uznick
1074,1074,Negoda
1082,1082,lovermann
1083,1083,cdev
1084,1084,ral
1090,1090,ral
1092,1092,Miguel
1093,1093,ral
1098,1098,BBSoD
1102,1102,kukutz
1103,287748,snoopckuu
1104,1104,minaton
1112,1112,deniskin
1113,1113,webadmin
1114,1114,didaio
1115,1115,phpclub
1121,1121,Miguel
1126,1126,Yaro
1134,1134,BBSoD
1137,1137,rossomachin
1140,1140,mozaic
1144,1144,Merdanchik
1146,1146,deniskin
1149,1149,BBSoD
1150,1150,FLOODkOFF
1156,1156,Maxime
1161,1161,obox
1162,1162,Negoda
1164,1164,mmost
1170,1170,Maxime
1171,1171,lovermann
1175,1175,Uznick
1179,1179,pihta
1183,1183,lovermann
1184,1184,yurylifshits
1185,1185,kofman
1190,1190,lovermann
1191,1191,Mio
1192,1192,Yaro
1193,1193,Yaro
1194,1194,NaFigator
1201,1201,rost
1203,1203,obox
1204,1204,obox
1205,1205,kirill
1206,1206,lovermann
1210,1210,mak_sim
1211,1211,BBSoD
1219,1219,Maxime
1222,1222,gulevich
1225,1225,smitana
1233,1233,gulevich
1238,1238,Yaro
1239,1239,Yaro
1248,1248,lowkee
1251,1251,google_fan
1258,1258,umputun
1262,1262,lovermann
1263,1263,Yaro
1270,1270,iljava
1276,1276,motto
1279,1279,oleg_bunin
1283,1283,lovermann
1286,1286,kostik
1287,1287,neptune
1291,1291,Miguel
1292,1292,rossomachin
1294,1294,pochtmeister
1295,1295,Mio
1296,1296,Yaro
1298,1298,Miguel
1301,1301,lovermann
1307,1307,la_terra
