name, rating, karma, post_score, comment_score
BaxZzZz,0.0,0.0,0,0
bazlan,0.0,0.0,0,0
BeDark,0.0,0.0,0,0
bedmitry,1.7,17.0,0,0
beenom,5.1,51.0,0,0
believe,0.0,0.0,0,0
BeloVit,0.0,0.0,0,0
benkaminski,0.6,6.0,0,0
Bernodot,2.84,28.42,0,0
bes_internal,0.0,0.0,0,0
bethrezen,0.0,0.0,0,0
bfDeveloper,10.58,106.0,0,-2
bi4o4ek,0.3,3.0,0,0
Bibberfell,0.0,0.0,0,0
Bigbad,1.4,14.0,0,0
bigdogsru,1.4,14.0,0,0
biGGer,0.0,0.0,0,0
Bigzver,0.0,0.0,0,0
billion,0.8,8.0,0,0
Bismarck,0.0,0.0,0,0
BjornValor,5.15,51.25,0,2
blackbird_ru,0.0,0.0,0,0
BlackFan,80.6,21.0,98,10
Blandinka,0.0,0.0,0,0
Blockthor,1.2,12.0,0,0
BlonRubin,1.5,15.0,0,0
BloodElf,0.0,0.0,0,0
bnku,0.49,4.9,0,0
bober,1.63,16.25,0,0
bobic,0.0,0.0,0,0
bob_lyashenko,0.4,4.0,0,0
Bobrnor,0.0,0.0,0,0
bobry,0.0,0.0,0,0
BoDRbI,0.0,0.0,0,0
BoNi,0.0,0.0,0,0
bonifaci,60.35,10.0,74,15
bootch,1.98,19.81,0,0
boramod,3.5,35.0,0,0
Boreas,0.0,0.0,0,0
borisrodionov,0.9,9.0,0,0
borovoyyura,0.0,0.0,0,0
Boten,2.14,21.35,0,0
boto,0.0,0.0,0,0
brainunit,1.6,16.0,0,0
brainworm,0.4,4.0,0,0
Bram,0.0,0.0,0,0
brame,0.0,0.0,0,0
brizzz,-0.01,0.0,0,0
brom_portret,0.0,0.0,0,0
bruha,2.16,21.6,0,0
B_Sadovskiy,0.0,0.0,0,0
BSDenZ,0.0,0.0,0,0
Bublya,0.0,0.0,0,0
bugman,0.0,0.0,0,0
Bulbulator,0.0,0.0,0,0
burat,0.0,0.0,0,0
bursten,0.6,6.0,0,0
byvincent,0.0,0.0,0,0
C0NTEMPLATOR,0.4,4.0,0,0
cachealot,4.49,44.9,0,0
caezar,0.0,0.0,0,0
caine,0.0,0.0,0,0
CAJAX,3.11,31.1,0,0
C_arter,0.0,0.0,0,0
catlion,3.98,39.75,0,0
Centimo,-0.12,-4.0,0,28
cepro,0.0,0.0,0,0
cgff,0.0,0.0,0,0
chiga,0.0,0.0,0,0
Chikey,65.14,262.0,49,-26
chilly,0.0,0.0,0,0
chineek,1.1,11.0,0,0
choor,2.1,21.0,0,0
cityhawk,0.0,0.0,0,0
claymore,0.0,0.0,0,0
ClusterM,172.27,242.0,185,7
cmd,0.0,0.0,0,0
Codemaster,0.0,0.0,0,0
Coffin,-0.47,-3.0,0,-17
Cognac,0.0,0.0,0,0
cogonet,0.0,0.0,0,0
combax,0.0,0.0,0,0
comeoff,0.3,3.0,0,0
conf,5.2,52.0,0,0
contrabas,0.0,0.0,0,0
coolmiha,3.1,31.0,0,0
coon88,7.0,70.0,0,0
Corpsee,1.37,8.0,0,56
Corwal,4.4,44.0,0,0
cosmic_dog,0.0,0.0,0,0
cosmichorror,0.0,0.0,0,0
coyl,0.0,0.0,0,0
CrackedSapphire,0.0,0.0,0,0
Crapachi,0.0,0.0,0,0
creatica,0.0,0.0,0,0
cruxacrux,4.6,46.0,0,0
CTAHKiH,0.0,0.0,0,0
CvetKomm,1.61,19.0,0,1
Cyapa,30.44,40.0,33,4
CyberCoder,1.2,12.0,0,0
CyberLab,2.0,20.0,0,0
cyberXndr,1.83,17.5,0,8
d0rian,0.0,0.0,0,0
D1abloRUS,0.5,5.0,0,0
d1kiy,0.35,3.5,0,0
d3z,0.0,0.0,0,0
Daizor,1.7,17.0,0,0
dami,0.4,4.0,0,0
Daminion,0.1,1.0,0,0
DamnLoky,0.0,0.0,0,0
danaki,-0.2,-2.0,0,0
DanDare,0.0,0.0,0,0
dandellion,0.0,0.0,0,0
danial72,1.0,10.0,0,0
Danik10,0.0,0.0,0,0
danin,13.1,131.02,0,0
DarkestMaster,2.33,23.3,0,0
darksab0r,0.0,0.0,0,0
Dark_Sad,0.0,0.0,0,0
Dark_Snake,0.0,0.0,0,0
Darthman,62.98,37.25,73,82
DarthRaven,4.1,41.0,0,0
